epoch,total_loss,dist_loss,fredf_loss,anchor_loss,nomoto_loss,div_loss,pw_fde_nm,val_ade,val_fde,val_ccr,val_dcpa_mae,val_anchor_ade,val_anchor_fde,lr,eff_div_weight,sda_gates,gpu_mem_mb,gpu_mem_peak_mb,epoch_time_s,best_ade,no_improve
51,41.922451,22.185434,16.636854,1.975966,1.276255,-0.352839,1.0060,,,,,,,1.00e-04,0.5000,0.8562|0.8622|0.8597|0.8649|0.8568|0.8634|0.8615|0.8614,330,15544,608.9,0.7210,7
52,31.539105,14.018992,15.019465,1.376061,1.255199,-0.268724,0.7562,,,,,,,1.00e-04,0.5000,0.8561|0.8617|0.8597|0.8649|0.8567|0.8631|0.8611|0.8610,328,15544,610.4,0.7210,7
53,33.090982,15.439653,15.237341,1.266812,1.329528,-0.309739,0.8775,,,,,,,1.00e-04,0.5000,0.8562|0.8615|0.8599|0.8651|0.8565|0.8634|0.8608|0.8610,329,15544,609.9,0.7210,7
54,31.213043,13.168760,15.653823,1.229782,1.292268,-0.255304,0.6778,1.8583,1.9806,0.1804,1.1617,0.4302,0.1965,1.00e-04,0.5000,0.8554|0.8611|0.8591|0.8643|0.8560|0.8634|0.8608|0.8608,330,15544,610.0,0.7210,8
55,30.365226,14.718706,13.523290,1.097841,1.075168,-0.161822,0.4135,,,,,,,1.00e-04,0.5000,0.8550|0.8605|0.8590|0.8642|0.8562|0.8633|0.8602|0.8606,329,15544,610.3,0.7210,8
56,26.884443,11.372476,13.584241,1.049943,1.025740,-0.256671,0.6800,,,,,,,1.00e-04,0.5000,0.8543|0.8600|0.8587|0.8635|0.8561|0.8625|0.8598|0.8601,328,15544,610.4,0.7210,8
57,32.112392,15.529291,14.614323,0.998764,1.092741,-0.223459,0.5420,,,,,,,1.00e-04,0.5000,0.8541|0.8598|0.8585|0.8633|0.8556|0.8626|0.8598|0.8599,328,15544,609.4,0.7210,8
58,29.966117,12.300236,15.860599,0.972795,1.015104,-0.281003,0.6849,,,,,,,1.00e-04,0.5000,0.8535|0.8603|0.8582|0.8632|0.8554|0.8622|0.8594|0.8597,330,15544,609.8,0.7210,8
59,29.153032,13.339876,14.219651,0.621082,1.224471,-0.314326,0.7773,1.0927,1.0786,0.5592,0.5950,0.2267,0.2195,1.00e-04,0.5000,0.8531|0.8606|0.8579|0.8633|0.8550|0.8623|0.8594|0.8594,329,15544,626.7,0.7210,9
60,32.543993,17.031088,13.815794,0.750555,1.231801,-0.359826,0.9213,,,,,,,1.00e-04,0.5000,0.8529|0.8610|0.8576|0.8632|0.8547|0.8625|0.8592|0.8593,329,15544,622.4,0.7210,9
